"Week","Status","Total Volume","California","Chile","Mexico","Peru","Colombia"
"Jan 5, 2020","Actual","32,537,444","37,220","159,041","32,291,182","0","50,000"
"Jan 12, 2020","Actual","65,307,572","319,866","177,780","64,809,925","0","0"
"Jan 19, 2020","Actual","76,375,629","1,604,707","222,755","74,498,167","0","50,000"
"Jan 26, 2020","Actual","66,647,112","2,822,485","0","63,774,627","0","50,000"
"Feb 2, 2020","Actual","45,414,983","2,704,489","0","42,710,494","0","0"
"Feb 9, 2020","Actual","29,476,898","2,489,304","0","26,987,593","0","0"
"Feb 16, 2020","Actual","50,713,581","5,257,159","0","45,456,422","0","0"
"Feb 23, 2020","Actual","60,175,473","6,454,635","0","53,720,838","0","0"
"Mar 1, 2020","Actual","56,195,818","9,785,442","0","46,410,376","0","0"
"Mar 8, 2020","Actual","47,119,478","8,249,788","0","38,869,689","0","0"
"Mar 15, 2020","Actual","48,039,847","3,868,964","0","44,120,882","50,000","0"
"Mar 22, 2020","Actual","54,765,620","8,086,208","0","46,679,412","0","0"
"Mar 29, 2020","Actual","36,225,538","8,323,661","0","27,901,876","0","0"
"Apr 5, 2020","Actual","24,392,863","7,933,743","0","16,174,674","284,446","0"
"Apr 12, 2020","Actual","24,945,091","3,115,152","0","21,687,715","142,223","0"
"Apr 19, 2020","Actual","65,731,766","15,741,055","0","49,706,264","284,446","0"
"Apr 26, 2020","Actual","70,861,471","16,932,573","0","53,786,674","142,223","0"
"May 3, 2020","Actual","57,343,819","17,453,801","0","39,463,348","426,669","0"
"May 10, 2020","Actual","68,814,562","17,353,081","0","50,608,141","853,338","0"
"May 17, 2020","Actual","54,720,342","14,715,907","0","38,724,426","1,280,008","0"
"May 24, 2020","Actual","51,932,040","16,615,963","0","33,372,360","1,943,716","0"
"May 31, 2020","Actual","51,620,045","11,861,004","0","35,634,569","4,124,471","0"
"Jun 7, 2020","Actual","53,894,696","12,247,478","0","33,956,728","7,690,489","0"
"Jun 14, 2020","Actual","64,102,161","13,344,459","0","39,424,664","11,283,036","50,000"
"Jun 21, 2020","Actual","67,106,703","13,754,827","0","39,545,860","13,606,015","200,000"
"Jun 28, 2020","Actual","66,311,549","15,228,590","0","35,035,819","15,597,139","450,000"
"Jul 5, 2020","Actual","55,799,825","11,780,040","0","26,616,471","17,203,312","200,000"
"Jul 12, 2020","Actual","52,067,279","11,391,217","0","25,273,369","15,312,693","90,000"
"Jul 19, 2020","Projection","61,839,558","13,152,000","0","30,435,586","18,251,971","0"
"Jul 26, 2020","Projection","55,788,296","10,454,100","0","28,172,602","17,161,594","0"
"Aug 2, 2020","Projection","54,124,687","9,841,800","0","28,315,967","15,966,919","0"
"Aug 9, 2020","Projection","59,806,118","11,100,800","0","33,108,178","15,597,139","0"
"Aug 16, 2020","Projection","53,131,453","10,318,200","0","32,193,923","10,619,328","0"
"Aug 23, 2020","Projection","49,747,599","9,699,000","0","30,834,909","9,213,690","0"
"Aug 30, 2020","Projection","46,665,431","8,150,700","0","30,953,200","7,561,531","0"
"Sep 6, 2020","Projection","53,902,262","9,371,200","0","39,908,809","4,622,252","0"
"Sep 13, 2020","Projection","50,545,500","5,709,800","0","42,038,645","2,797,055","0"
"Sep 20, 2020","Projection","46,114,806","5,713,300","0","38,230,232","2,171,273","0"
"Sep 27, 2020","Projection","46,026,715","4,770,600","0","39,407,213","1,848,901","0"
"Oct 4, 2020","Projection","44,448,182","1,507,100","0","41,234,403","1,706,677","0"
"Oct 11, 2020","Projection","40,067,203","893,900","0","39,078,487","94,815","0"
"Oct 18, 2020","Projection","43,392,378","396,000","0","42,996,377","0","0"
"Oct 25, 2020","Projection","50,057,064","388,300","0","49,668,764","0","0"
"Nov 1, 2020","Projection","224,100","224,100","0","0","0","0"
"Nov 8, 2020","Projection","0","0","0","0","0","0"
"Nov 15, 2020","Projection","0","0","0","0","0","0"
"Nov 22, 2020","Projection","0","0","0","0","0","0"
"Nov 29, 2020","Projection","0","0","0","0","0","0"
"Dec 6, 2020","Projection","0","0","0","0","0","0"
"Dec 13, 2020","Projection","0","0","0","0","0","0"
"Dec 20, 2020","Projection","0","0","0","0","0","0"
"Dec 27, 2020","Projection","0","0","0","0","0","0"
